;Région;Occupé;Larg.;Durée;Distance;Humidité;Mass_Yield;Flux_Blé_d;Productivi;Util._carb;Vites.;Direction;Header_Off;Rdmt_masse;Rdmt_humid;Rdmt_sec;Flux;Flux2;Altitude;Datage;Flux3;Flux4;Flux5;Flux6;Flux7;Flux8;Flux9;Flux:;"Flux;";Flux<;Flux=;Flux>;Longitude;Latitude
0;Boulinsard - 23/07/2021;T;9.15;1.0;1.28;12.1;0.0;7.8;2.4;52.2;4.6;241.6;0.0;6668.1;6668.1;5864.6;28188.0;24791.3;274.61;1627044075.0;;;;;;;;;;;;;5.5886315263869255;48.776399433821496
1;Boulinsard - 23/07/2021;T;9.15;1.0;1.29;12.1;6911.0;8.0;2.4;60.8;4.6;237.4;0.0;6745.8;6745.8;5932.3;28764.0;25295.1;274.59;1627044076.0;;;;;;;;;;;;;5.588616777505644;48.77639327023392
2;Boulinsard - 23/07/2021;T;9.15;1.0;1.32;12.0;6997.0;8.4;2.4;61.4;4.8;240.1;0.0;6987.0;6987.0;6148.5;30276.0;26642.9;274.55;1627044077.0;;;;;;;;;;;;;5.588601129302332;48.7763873437067
3;Boulinsard - 23/07/2021;T;9.15;1.0;1.31;12.0;6749.0;8.1;2.4;55.4;4.7;239.5;0.0;6798.7;6798.7;5986.2;29232.0;25738.8;274.51;1627044078.0;;;;;;;;;;;;;5.5885858408278315;48.77638141717878
4;Boulinsard - 23/07/2021;T;9.15;1.0;1.29;12.0;6255.0;7.4;2.4;58.1;4.6;239.3;0.0;6331.3;6331.3;5574.1;26820.0;23612.3;274.47;1627044079.0;;;;;;;;;;;;;5.588570732217739;48.77637549065015
5;Boulinsard - 23/07/2021;T;9.15;1.0;1.29;11.9;6540.0;7.6;2.4;65.7;4.7;240.6;0.0;6449.5;6449.5;5680.1;27396.0;24127.7;274.43;1627044080.0;;;;;;;;;;;;;5.588555443743238;48.77636980118202
6;Boulinsard - 23/07/2021;T;9.15;1.0;1.54;12.0;5903.0;7.2;2.4;67.4;4.6;239.0;0.0;5079.5;5079.5;4471.0;25848.0;22751.4;274.39;1627044081.0;;;;;;;;;;;;;5.5885372774382445;48.77636257081533
7;Boulinsard - 23/07/2021;T;9.15;1.0;1.05;12.0;5903.0;7.2;2.4;66.9;4.8;234.8;0.0;7486.4;7486.4;6589.6;25848.0;22751.4;274.35;1627044082.0;;;;;;;;;;;;;5.588525586251863;48.7763572369376
8;Boulinsard - 23/07/2021;T;9.15;1.0;1.55;12.0;5413.0;6.2;2.8;64.8;4.6;227.3;0.0;4375.0;4375.0;3849.6;22320.0;19639.4;274.32;1627044083.0;;;;;;;;;;;;;5.588510117912958;48.776347754486906
9;Boulinsard - 23/07/2021;T;9.15;1.0;1.04;12.0;5413.0;6.2;2.8;67.7;4.4;218.4;0.0;6541.9;6541.9;5756.2;22320.0;19639.4;274.31;1627044084.0;;;;;;;;;;;;;5.588501304557068;48.77634052411704
10;Boulinsard - 23/07/2021;T;9.15;1.0;1.64;12.1;6866.0;7.9;2.8;65.0;4.6;202.7;0.0;5268.6;5268.6;4630.1;28440.0;24993.1;274.31;1627044085.0;;;;;;;;;;;;;5.588492671065587;48.776327011619756
11;Boulinsard - 23/07/2021;T;9.15;1.0;1.09;12.1;6866.0;7.9;2.8;62.6;4.2;188.8;0.0;7946.7;7946.7;6983.5;28440.0;24993.1;274.36;1627044086.0;;;;;;;;;;;;;5.588490512692716;48.77631729210191
12;Boulinsard - 23/07/2021;T;9.15;1.0;1.43;12.2;7327.0;8.5;2.8;69.6;4.5;182.2;0.0;6546.3;6546.3;5748.3;30744.0;26996.3;274.39;1627044087.0;;;;;;;;;;;;;5.588489793235094;48.77630449078287
13;Boulinsard - 23/07/2021;T;9.15;1.0;1.6;12.2;7537.0;8.4;2.8;65.4;4.4;178.0;0.0;5753.1;5753.1;5048.9;30240.0;26538.6;274.4;1627044088.0;;;;;;;;;;;;;5.588490512692716;48.77629014856041
14;Boulinsard - 23/07/2021;T;9.15;1.0;1.03;12.2;7537.0;8.4;2.8;64.9;4.4;181.0;0.0;8873.3;8873.3;7787.2;30240.0;26538.6;274.42;1627044089.0;;;;;;;;;;;;;5.58849033282831;48.77628090315866
15;Boulinsard - 23/07/2021;T;9.15;1.0;1.33;12.2;8031.0;9.5;2.8;65.9;4.3;176.1;0.0;7791.0;7791.0;6837.4;34200.0;30013.9;274.5;1627044090.0;;;;;;;;;;;;;5.588491412014745;48.77626893154615
16;Boulinsard - 23/07/2021;T;9.15;1.0;1.31;12.2;8813.0;10.1;2.8;64.7;4.6;172.0;0.0;8394.5;8394.5;7367.0;36216.0;31783.2;274.53;1627044091.0;;;;;;;;;;;;;5.588493930116428;48.77625731552336
17;Boulinsard - 23/07/2021;T;9.15;1.0;1.26;12.2;8813.0;8.2;2.8;68.3;4.6;167.5;0.0;7140.4;7140.4;6266.4;29556.0;25938.3;274.51;1627044092.0;;;;;;;;;;;;;5.588497707268951;48.7762464106832
18;Boulinsard - 23/07/2021;T;9.15;1.0;1.29;12.2;3520.0;4.0;2.8;73.7;4.6;162.7;0.0;3412.2;3412.2;2994.6;14544.0;12763.8;274.52;1627044093.0;;;;;;;;;;;;;5.588502923336722;48.77623526877885
19;Boulinsard - 23/07/2021;T;9.15;1.0;1.55;12.2;2926.0;3.4;2.8;68.7;4.3;168.6;0.0;2427.3;2427.3;2130.2;12420.0;10899.8;274.63;1627044094.0;;;;;;;;;;;;;5.588507060218057;48.77622163772229
20;Boulinsard - 23/07/2021;T;9.15;1.0;1.28;12.2;1908.0;2.2;2.8;77.1;4.5;164.3;0.0;1900.8;1900.8;1668.1;8028.0;7045.4;274.67;1627044095.0;;;;;;;;;;;;;5.58851173669261;48.77621049581244
